x [Mpc],y [Mpc],z [Mpc],vx [km/s],vy [km/s],vz [km/s]
0.49177,1.3966,0.88467,128.01,-40.439,-21.866
0.85559,3.712,1.4123,140.34,-47.48,-33.037
0.46209,2.071,1.9809,121.65,-54.922,-11.714
1.1187,3.0285,0.1927,168.74,-37.779,-47.654
2.5689,2.5871,1.3965,197.67,-47.798,-56.655
3.5593,0.36513,0.70649,63.921,191.96,-30.441
2.3505,0.54566,0.11003,179.41,2.4366,-59.622
2.5646,1.7777,0.33748,221.61,-12.499,-67.998
3.7737,0.45534,1.7144,144.18,45.241,-78.063
3.7485,0.47284,1.5143,139.15,111.6,-35.535
3.6937,0.37828,1.918,169.69,125.83,-37.26
3.744,0.73691,1.9839,188.27,66.781,23.683
3.9766,1.0471,1.6554,118.23,124.76,-20.569
3.558,1.3675,2.6223,202.06,-23.564,-34.362
3.7363,0.82077,2.0502,148.38,107.91,7.0845
3.4977,0.062047,2.7435,104.97,77.24,-31.206
3.1719,0.10909,2.2948,152.34,23.652,-29.795
3.3021,0.51305,2.3537,175.56,-12.189,-42.832
2.7787,0.15205,2.3198,121.39,92.787,23.515
2.8442,1.3398,3.2359,165.05,-37.227,-42.724
2.1905,0.63698,3.3577,122.66,-32.13,-30.963
3.3816,0.46646,3.0523,66.305,106.44,-82.282
3.3527,3.0338,3.9802,188.73,-49.014,-20.062
3.8659,2.6419,2.2586,213.68,-65,-52.528
2.1161,2.2772,2.6014,163.5,-54.819,-30.702
0.055732,3.9406,3.6863,95.757,-37.497,14.996
1.5649,1.0349,2.9314,133.87,-56.366,-10.545
1.8698,1.5093,2.0239,158.04,-36.451,-17.377
1.4695,0.2348,2.7454,121.51,-53.391,30.636
1.3527,0.4903,4.9261,65.936,-49.235,-8.0744
1.02,0.89224,4.2314,95.608,-68.359,3.9641
0.47794,1.1625,5.5817,67.382,-70.225,20.348
1.8839,1.7147,5.1747,102.13,-37.786,-5.9511
1.8877,0.17629,7.0566,33.273,-18.343,1.2441
1.002,0.87284,6.0185,47.075,-45.989,-0.017582
0.57567,1.2917,7.6752,29.995,-34.791,24.447
0.081963,1.7292,7.0566,49.181,-56.427,41.403
1.706,2.9053,7.5802,88.498,6.3007,20.419
1.7483,2.6283,6.9111,89.384,-2.1325,29.841
1.5269,3.3914,6.4958,116.32,-12.134,46.817
1.564,3.9801,7.5334,110.16,24.927,15.643
1.6084,2.4647,4.3968,127.17,-49.136,2.2543
3.8365,2.0302,5.6031,153.52,22.357,-55.918
3.9308,3.7431,7.1043,122.62,46.838,-2.9146
3.3172,2.4472,7.0831,107.33,29.975,-5.2803
2.9113,0.30804,6.5565,46.737,21.786,-21.808
2.374,0.431,7.714,24.716,16.41,-2.5743
2.3442,0.021799,5.1149,60.584,-12.824,-40.609
3.1372,0.12778,4.096,106.15,10.725,-57.227
3.8371,0.46964,4.2198,110.48,71.74,-86.564
4.3986,0.82582,4.0342,109.65,148.86,-99.707
5.2251,0.83864,4.1381,16.096,223.74,-106.87
5.3614,1.3985,4.9774,53.847,170.13,-155.2
5.3595,1.653,4.992,-93.588,-7.5578,-75.267
5.2475,1.5484,4.9451,-87.945,-44.719,43.67
5.3019,1.917,4.5042,-261.25,128.5,-127.39
5.8015,1.5899,4.6083,-251.95,63.055,-21.737
5.9471,1.6294,4.64,-234.76,44.484,-74.153
5.6616,1.6479,4.488,-256.13,42.052,-108.64
5.1099,1.8173,4.3269,-43.71,115.37,-217.24
5.1879,1.63,4.3771,-94.265,-19.106,-146.1
4.8859,1.9524,4.3214,-67.005,-31.421,-195.14
4.7353,1.5333,4.2651,23.592,95.012,-139.02
4.3438,1.4793,4.1182,241.38,58.143,-93.012
5.9767,1.552,5.5789,-7.3419,109.38,-105.98
5.3252,1.7167,6.3755,6.1092,8.4386,-64.343
5.6497,1.7106,6.7131,-28.421,-23.808,-100.59
5.5947,1.6529,6.5483,5.1293,5.8828,-61.486
5.5993,1.5647,7.4862,-171.77,76.479,72.754
5.5728,1.6311,7.5487,12.778,34.716,-56.032
5.6615,1.6037,7.5238,53.826,92.473,-93.634
5.6076,1.5795,7.5146,-60.437,58.867,107.77
5.6074,1.5836,7.508,-22.304,-100.12,-70.249
5.9289,1.334,7.3854,14.271,-38.441,-51.458
5.4473,1.562,7.9716,-16.625,57.098,-27.532
4.67,1.7439,7.4258,83.307,72.774,-24.275
4.9233,1.7578,6.0192,-26.285,45.273,-91.35
4.9488,2.1449,6.2837,121.68,58.474,-77.158
4.9055,2.9875,6.776,-1.7076,2.3127,-75.549
4.9497,2.899,7.7246,57.269,30.105,29.331
5.0678,2.9446,7.7459,79.374,43.968,-5.1388
5.0419,2.864,7.7451,90.549,38.523,-93.575
5.4134,2.6496,7.4123,-53.254,57.297,-74.817
5.3821,2.6291,7.3978,75.189,-20.502,-7.9134
5.5546,2.0629,6.7057,-131.77,31.796,-19.443
5.5404,2.121,6.6595,-35.254,28.732,-43.728
5.2713,3.4414,6.695,61.427,-16.82,-45.215
4.3921,3.364,6.5076,148.06,26.407,-22.187
4.487,3.4207,6.3703,-1.4943,-0.90185,-84.539
4.2567,3.2078,5.1979,-44.806,-213.8,-83.435
4.8959,3.4506,5.1309,21.735,-110.3,-149.59
4.9365,3.0759,4.897,57.363,-275.19,-61.787
4.8785,3.1103,4.9102,-11.447,-161.82,-12.824
4.8827,3.0071,4.8487,92.634,-259.48,153.86
4.92,3.0321,4.7941,-128.94,-182.48,-112.62
4.9369,2.9095,4.9579,164.53,-32.291,-271.83
4.9546,2.9335,4.9571,-199.95,-330.8,-151.88
4.8464,2.8732,4.9964,66.726,146.01,-141.73
4.819,2.8874,4.9843,-81.264,-163.35,-117.71
4.844,2.9582,4.9338,85.935,-249.25,200.49
4.8504,2.9407,4.9431,156.3,-208.7,-157.91
4.7828,2.9491,4.9676,17.251,-38.167,-32.177
4.7,2.9118,4.9752,-61.076,-7.8458,-233.42
4.8792,2.507,4.9982,120.97,-119,-145.34
4.9446,2.1396,4.1207,-26.506,-56.688,-221.58
4.347,2.2584,4.603,-13.796,-74.016,-185.88
4.3625,2.927,5.0404,64.596,-210.84,28.607
4.6537,2.8885,5.0268,-47.562,-30.454,-321.51
4.5184,2.8298,5.0372,96.147,-165.42,-85.727
4.9539,2.8759,5.0396,67.32,1.0498,-28.714
4.9154,2.8674,5.0176,157.56,-118.64,1.293
4.9011,2.9123,5.0209,-323.3,-130.44,-54.085
4.924,2.895,5.0223,-57.321,-269.87,12.737
4.9241,2.9057,5.0268,71.152,-288.79,-269.84
4.9117,2.9082,5.0187,30.289,-116.93,64.776
4.6951,2.6709,5.6083,18.021,0.95517,-159.68
4.7398,2.7183,5.7143,-96.962,-46.689,-181.4
5.2923,2.0836,5.023,101.79,113.19,-195.79
5.016,2.8938,5.0971,135.14,-166.13,-191.57
5.0374,2.8675,5.0301,0.19813,-171.43,-196.83
5.065,2.601,5.2519,-196.23,-28.359,-168.73
5.5448,2.6092,5.1894,-68.778,-171.18,-93.438
5.6291,2.8222,5.7973,58.629,41.483,-133.18
5.8916,2.4371,4.1395,-53.531,7.2412,-0.37416
5.6893,2.4263,4.3711,-33.108,-83.775,-162.41
5.431,2.1938,4.4397,-105.61,20.547,-26.888
5.488,2.11,4.0628,92.053,282.28,-120.69
5.2626,2.3355,4.4203,263.45,-43.216,-219.52
5.1378,2.492,4.0727,-112.73,-92.135,-173.2
5.4454,2.6572,4.0748,-19.008,172.73,-91.975
5.4899,2.8136,4.0862,-84.6,3.5854,-50.162
5.869,2.7795,4.6293,0.16524,-53.043,-194.67
5.0529,3.0787,4.7219,-128.32,-54.606,-104.49
5.3943,3.2171,4.9346,-75.027,-31.004,-188.77
5.2275,3.8558,4.4395,28.412,-154.34,30.794
5.3206,3.4706,5.0629,-10.603,-159.96,-147.36
5.2873,3.0289,5.4462,-67.236,-117.21,-68.423
5.367,3.239,5.9833,-164.42,-88.4,-82.902
6.0491,2.9948,4.4931,-234.45,-144.15,-23.527
6.5977,3.347,6.2701,-134.05,-52.04,-65.918
6.5727,3.3188,6.2906,-182.35,-103.23,66.511
6.4384,3.0672,6.6846,-124.42,-48.295,-54.839
7.1596,2.7687,6.8425,-133.27,-61.233,-40.585
7.2126,2.1196,6.4764,-128.32,-73.48,-25.486
6.1188,1.8035,7.6905,32.551,9.6724,-53.267
6.6247,0.82558,6.7227,-86.484,-61.067,-39.485
6.8498,0.25844,7.4277,-55.235,-63.416,4.3744
7.0668,0.075287,7.967,34.323,30.734,51.23
7.1456,0.13098,7.9125,46.76,-23.872,88.04
7.2482,0.2306,6.9225,-20.581,0.30251,5.3055
7.107,0.10118,6.4301,16.486,79.666,5.016
6.7605,0.89923,5.1505,-148.82,-27.272,-6.9512
6.1655,0.61987,5.3387,5.1198,132.69,-60.559
6.4652,0.90569,5.815,-27.44,79.302,-53.631
6.3284,1.0246,4.3657,-172.77,-11.663,-117.6
6.1168,1.0581,4.2941,-124.4,26.735,-131.37
6.3906,0.78612,4.5329,-161.84,39.473,66.838
6.3383,0.61543,4.9447,-101.02,-11.823,-90.268
6.5897,0.62113,4.7118,-100.88,69.854,-27.84
6.5483,0.58282,4.6231,-106.96,-15.448,-7.3592
6.5059,0.45114,4.9094,-154.34,-63.799,-102.51
6.9387,0.28519,4.7164,-102.34,-13.898,-31.297
